ASV ID,Disease,Study,T.mean,P.val,Meta.significance
000db46fcff4701589d112bc2a6044de,0.000465377,0.037383635,1.25E-06,0.875866727,FALSE
003e253932cf83d92de80661474011ca,0.012048943,0.040143967,3.42E-07,0.039248485,TRUE
00a96fbd0ac34bfd245f9c24f8737f7d,0.018958046,0.009188114,0.007968183,0.002919359,TRUE
0243b68c76049aa1b8c51a20333da950,0.008470515,0.050985338,0.00219049,0.119026483,FALSE
0266b37dda69c8fd306c9e0ee679e583,0.000747273,0.195509877,1.92E-06,0.778613647,FALSE
02b4317d07dfa2d4bcf0b885431ba6ce,0.000812857,0.039403329,2.38E-05,0.279566191,FALSE
02db09efa7c46a21be5fadc51cb17dd8,2.04E-07,0.009546606,1.11E-06,0.997681172,FALSE
034061db75629f2f71b16186302a7e44,0.000779195,0.046702306,0,0.712358329,FALSE
05dbbf0301a9625e1f1a41470a92f7fe,0.01006592,0.004970666,8.36E-06,0.020252412,TRUE
06f825b512d903b9230e1a55d87359ee,0.001269498,0.120969653,6.59E-05,0.921299398,FALSE
07699fa14cb8970eee5e8dda19dd5dbe,0.007040893,0.003260151,0.000121137,0.033735708,TRUE
07b148ebe6cc2c05b1faa8d187c51114,0.000736621,0.061635589,0.000527644,0.757927945,FALSE
07fd92a29ce27a31f4d95c6821595530,0.00090605,0.028426048,0,0.559840592,FALSE
08bd43071a06abf56df235fca6655bea,0.013488102,0.003683633,0.002446728,0.007640605,TRUE
08c53fdf2c7b879ac5e38d5730b65fd9,0.001248566,0.044913112,4.60E-06,0.226393588,FALSE
0a035a7ec1f4a194dd7fbda3c5660db0,0.015165084,0.027959409,0.00017207,0.001204197,TRUE
0a68ec564e278b0246c920ad7de41880,0.008497512,0.024141324,0.015445183,0.112221601,FALSE
0ac4820d19fc4dfbe62663def78c840d,0.000766085,0.001603043,8.05E-07,0.427749543,FALSE
0ad13b6d1cd98ad7e8f6ee9909d33114,0.001380533,0.312196344,6.47E-06,0.920204103,FALSE
0b4aeb45916a24fd10e3655fe6481966,0.000113278,0.062749127,0,0.714539272,FALSE
0b53415990b1e4435ba981cc617f6be0,0.011220934,0.031456347,0,0.00724748,TRUE
0ba1ab35f26bdef177c3341940c34c34,0.000686233,0.043608935,0,0.40452478,FALSE
0ba92b5d91ba43524ebc6ea1ae7c5a73,0.002595402,0.031379303,0,0.248561622,FALSE
0bae11e18b7d5b6f905fcb2cecf94bcf,0.005240563,0.00336838,8.09E-07,0.080573937,FALSE
0bda1f28a4db470d885740af6b66cf7d,0.000772583,0.032194902,0,0.247888803,FALSE
0be2b2840d439b1b8548e8010f8310e5,2.50E-05,0.058300437,5.90E-06,0.681874577,FALSE
0c410683e68edf42337559941e5d3018,0.011142618,0.014478091,0,0.012125929,TRUE
0dcf5023e96fb8175d7bf02d900c9dd1,0.000157461,0.065533012,0.000477419,0.540449893,FALSE
0df6c802966e8670279671824da4f10a,0.017362454,0.0891723,1.87E-05,0.028977845,TRUE
0e226d197c2f253bcee5f15026512f90,9.91E-05,0.020400557,0,0.508142174,FALSE
0e2573348777e55615736ca01785b7b4,0.008502735,0.032470197,0,0.064034471,FALSE
0ed3a6836e138f14044f6950ad7280d2,0.004099348,0.038958279,0,0.108696507,FALSE
0f603a9018080b298f6f858569d3b3e2,0.00649448,0.119579873,2.58E-05,0.338255492,FALSE
0f7b183901acd60418685b4fe37472c7,0.007430483,0.04304447,4.67E-07,0.099139915,FALSE
0fd672291b9b2013b63d4b3ab74a11a2,0.001231589,0.006641238,1.08E-07,0.461422203,FALSE
10e5d577b3994af95223fba4a16a69d5,0.001201613,0.007698036,0,0.438447225,FALSE
119eea33cb9f505d6a20297d132e792a,0.00171317,0.05420029,0.000447975,0.202057083,FALSE
11b7d5a0dd0446562be236a4a9144c75,0.012870126,0.015676682,4.28E-05,0.009573578,TRUE
12615dfed222d35c1582cbd6cef48013,1.22E-08,0.016565309,0,0.715594617,FALSE
12cc4c8a5d46fec0b6738bfe7c6c8a08,0.012288205,0.010173793,0,0.008186882,TRUE
12f9203b937a20a91b08aab804b28cd9,4.31E-05,0.024758318,0.000138661,0.894471181,FALSE
13d71cf98eff2dd4c01db78545020d68,0.000525581,0.015772933,0,0.37524675,FALSE
13e5e67a2599db5c3cdfa82c4c9ea6fd,0.00161568,0.077790151,7.41E-05,0.127931549,FALSE
143370e10dab7fdbcbdeda0f8b19658a,1.29E-05,0.013286986,0,0.663691949,FALSE
149465e40c1bdbc6230588a58a4d6eb0,0.000621453,0.005839407,0.000504405,0.441135638,FALSE
1569f7ae988e26c905ab8fab427c8a0d,0.001628529,0.029755211,0.006191885,0.568382062,FALSE
15b5966398a85e5c75501ad243691dfc,0.014186246,0.014515271,3.65E-05,0.017303761,TRUE
15cfeb62055743aacb7f78e9aa86accd,0.003866169,0.022439364,0,0.391791015,FALSE
16530e5b50b780018210dac05a471715,0.010702657,0.058963714,5.71E-05,0.041126477,TRUE
1739d8f19c1ac366a2138b64b03047a9,0.002311431,0.043769322,5.72E-07,0.328374965,FALSE
177db53ded58fcf2915778bff9a04f2c,0.000913007,0.000720582,2.81E-05,0.358583023,FALSE
